lon_UTM11,lat_UTM11,cm_mid,cm,cm,cm,cm,Tree_Open,Average_cm,Grid,Observed Fire Severity,Dominant Vegetation
273585,4172954,97,79,86,81,98,open,88.2,C,High,Meadow
273768,4172975,0,0,0,0,0,open,0,B,High,Shrub
273768,4173005,54,17,69,69,60,open,53.8,B,High,Shrub
273768,4173015,70,66,80,44,67,open,65.4,B,High,Shrub
273768,4173025,77,78,78,78,74,open,77,B,High,Shrub
273768,4173035,45,49,43,0,40,open,35.4,B,High,Shrub
273768,4173045,30,45,55,58,57,open,49,B,High,Shrub
273768,4173055,65,81,13,67,75,open,60.2,B,High,Shrub
273778,4173075,71,73,74,63,58,open,67.8,B,High,Shrub
273778,4173055,82,82,85,78,80,open,81.4,B,High,Shrub
273778,4173045,24,45,65,56,58,open,49.6,B,High,Shrub
273778,4173035,70,63,75,65,69,open,68.4,B,High,Shrub
273778,4173025,61,67,61,62,65,open,63.2,B,High,Shrub
273778,4173015,75,83,90,93,72,open,82.6,B,High,Shrub
273778,4173005,80,80,87,33,93,open,74.6,B,High,Shrub
273778,4172995,101,90,55,99,101,open,89.2,B,High,Shrub
273778,4172975,73,83,89,95,66,open,81.2,B,High,Shrub
273788,4172975,95,93,84,110,100,open,96.4,B,High,Shrub
273788,4172995,84,84,98,94,70,open,86,B,High,Shrub
273788,4173015,95,97,110,87,106,open,99,B,High,Shrub
273788,4173035,63,68,70,65,70,open,67.2,B,High,Shrub
273788,4173055,101,87,83,107,105,open,96.6,B,High,Shrub
273788,4173075,90,70,85,80,82,open,81.4,B,High,Shrub
273808,4173075,78,81,85,53,86,open,76.6,B,High,Shrub
273808,4173055,72,0,28,68,74,snag drip edge,48.4,B,High,Shrub
273808,4173035,58,64,60,45,51,open,55.6,B,High,Shrub
273808,4173015,78,35,81,78,69,open,68.2,B,High,Shrub
273808,4172995,93,95,92,77,63,open,84,B,High,Shrub
273808,4172975,73,70,102,94,75,open,82.8,B,High,Shrub
273754,4172862.974,31,18,43,35,13,open,28,A,Low,Forest
273764,4172862.974,25,39,10,7,31,open,22.4,A,Low,Forest
273774,4172862.974,0,14,0,0,8,drip edge,4.4,A,Low,Forest
273784,4172862.974,70,63,45,53,60,open,58.2,A,Low,Forest
273794,4172862.974,0,3,0,0,0,canopy,0.6,A,Low,Forest
273804,4172862.974,50,64,44,37,0,open,39,A,Low,Forest
273814,4172862.974,72,59,65,71,70,open,67.4,A,Low,Forest
273824,4172862.974,96,75,85,110,60,open,85.2,A,High,Shrub
273844,4172872.974,75,42,75,86,70,open,69.6,A,High,Shrub
273754,4172872.974,20,33,37,47,0,drip edge,27.4,A,Low,Forest
273764,4172872.974,94,58,95,73,72,open,78.4,A,Low,Forest
273774,4172872.974,61,9,70,74,72,open,57.2,A,Low,Forest
273784,4172872.974,0,0,0,0,0,canopy,0,A,Low,Forest
273794,4172872.974,88,51,61,83,76,open,71.8,A,Low,Forest
273804,4172872.974,69,72,70,64,65,open,68,A,Low,Forest
273814,4172872.974,68,33,0,65,72,open,47.6,A,Low,Forest
273824,4172872.974,68,63,61,39,60,open,58.2,A,Low,Forest
273844,4172872.974,52,40,58,55,37,open,48.4,A,High,Shrub
273754,4172882.974,35,41,58,55,49,snag drip edge,47.6,A,Low,Forest
273764,4172882.974,41,68,60,47,10,open,45.2,A,Low,Forest
273774,4172882.974,35,9,55,45,13,canopy,31.4,A,Low,Forest
273784,4172882.974,0,0,0,0,0,canopy,0,A,Low,Forest
273794,4172882.974,47,39,48,46,45,open,45,A,Low,Forest
273804,4172882.974,0,0,0,0,0,canopy,0,A,Low,Forest
273814,4172882.974,0,0,35,0,0,open,7,A,Low,Forest
273824,4172882.974,0,0,35,20,0,open,11,A,Low,Forest
273754,4172892.974,67,45,83,81,50,open,65.2,A,Low,Forest
273764,4172892.974,35,71,52,58,0,open,43.2,A,Low,Forest
273774,4172892.974,66,55,53,60,0,open,46.8,A,Low,Forest
273784,4172892.974,0,0,0,0,0,drip edge,0,A,Low,Forest
273794,4172892.974,0,0,0,0,0,canopy,0,A,Low,Forest
273804,4172892.974,0,0,0,0,0,open,0,A,Low,Forest
273814,4172892.974,0,0,0,0,0,open,0,A,Low,Forest
273824,4172892.974,0,0,0,0,0,open,0,A,Low,Forest
273844,4172892.974,35,45,58,53,62,open,50.6,A,Low,Forest
273754,4172902.974,103,110,119,92,71,open,99,A,Low,Forest
273764,4172902.974,28,20,9,21,38,open,23.2,A,Low,Forest
273774,4172902.974,5,15,33,0,30,canopy,16.6,A,Low,Forest
273784,4172902.974,0,0,0,0,0,open,0,A,Low,Forest
273794,4172902.974,0,0,0,0,0,canopy,0,A,Low,Forest
273804,4172902.974,0,0,0,0,0,canopy,0,A,Low,Forest
273814,4172902.974,0,0,0,0,0,open,0,A,Low,Forest
273824,4172902.974,0,0,0,0,0,canopy,0,A,Low,Forest
273754,4172912.974,82,50,92,103,92,open,83.8,A,Low,Forest
273764,4172912.974,70,79,87,12,41,open,57.8,A,Low,Forest
273774,4172912.974,0,5,0,0,0,drip edge,1,A,Low,Forest
273784,4172912.974,9,7,13,29,0,canopy,11.6,A,Low,Forest
273794,4172912.974,0,0,0,0,0,open,0,A,Low,Forest
273804,4172912.974,0,0,0,0,0,canopy,0,A,Low,Forest
273814,4172912.974,0,0,0,0,0,canopy,0,A,Low,Forest
273824,4172912.974,0,0,0,0,0,canopy,0,A,Low,Forest
273844,4172912.974,0,0,0,0,0,open,0,A,Low,Forest
273754,4172922.974,90,96,57,80,103,open,85.2,A,Low,Forest
273764,4172922.974,93,95,100,58,72,open,83.6,A,Low,Forest
273774,4172922.974,83,86,49,10,53,open,56.2,A,Low,Forest
273784,4172922.974,10,14,10,15,12,drip edge,12.2,A,Low,Forest
273794,4172922.974,0.1,0.06,0.16,0,1,open,0.264,A,Low,Forest
273804,4172922.974,0,0,0,0,0,canopy,0,A,Low,Forest
273814,4172922.974,0,0,0,0,0,canopy,0,A,Low,Forest
273824,4172922.974,0,0,0,0,0,open,0,A,Low,Forest
273754,4172932.974,25,69,77,75,90,open,67.2,A,High,Shrub
273764,4172932.974,86,84,84,90,110,open,90.8,A,High,Shrub
273774,4172932.974,25,55,92,18,64,open,50.8,A,Low,Forest
273784,4172932.974,19,63,33,25,15,snag drip edge,31,A,Low,Forest
273794,4172932.974,0,0,0,0,0,canopy,0,A,Low,Forest
273804,4172932.974,0,0,0,0,0,canopy,0,A,Low,Forest
273814,4172932.974,0,0,0,0,0,canopy,0,A,Low,Forest
273824,4172932.974,0,0,0,0,0,canopy,0,A,Low,Forest
273844,4172932.974,0,0,0,0,0,canopy,0,A,Low,Forest
273754,4172942.974,62,16,65,56,57,open,51.2,A,High,Shrub
273764,4172942.974,89,80,90,80,61,open,80,A,High,Shrub
273774,4172942.974,52,90,62,65,72,open,68.2,A,High,Shrub
273784,4172942.974,66,65,52,60,64,open,61.4,A,High,Shrub
273794,4172942.974,54,40,80,36,53,canopy,52.6,A,Low,Forest
273804,4172942.974,0,0,0,0,0,canopy,0,A,Low,Forest
273814,4172942.974,0,0,0,0,0,canopy,0,A,Low,Forest
273824,4172942.974,30,35,31,38,15,open,29.8,A,Low,Forest
273754,4172952.974,60,89,17,75,67,open,61.6,A,High,Shrub
273764,4172952.974,50,89,62,80,94,open,75,A,High,Shrub
273774,4172952.974,32,25,42,20,13,open,26.4,A,High,Shrub
273784,4172952.974,60,54,39,11,60,open,44.8,A,High,Shrub
273794,4172952.974,77,90,59,55,52,open,66.6,A,High,Shrub
273804,4172952.974,47,46,54,47,28,open,44.4,A,Low,Forest
273814,4172952.974,54,35,59,50,44,open,48.4,A,Low,Forest
273824,4172952.974,51,57,51,56,20,canopy,47,A,Low,Forest
273844,4172952.974,50,51,50,54,51,open,51.2,A,Low,Forest
273758,4173025,0,0,42,43,20,snag drip edge,21,B,High,Shrub
273758,4173015,75,5,60,58,55,open,50.6,B,High,Shrub
273758,4173005,50,70,75,92,65,open,70.4,B,High,Shrub
273758,4172995,49,85,80,60,82,open,71.2,B,High,Shrub
273758,4172975,95,85,85,92,80,open,87.4,B,High,Shrub
273748,4172975,70,90,95,95,95,open,89,B,High,Shrub
273748,4172995,66,0,25,55,75,open,44.2,B,High,Shrub
273748,4173005,75,71,72,74,65,open,71.4,B,High,Shrub
273748,4173015,70,80,98,84,89,open,84.2,B,High,Shrub
273748,4173025,52,46,16,0,55,open,33.8,B,High,Shrub
273748,4173035,85,86,79,60,99,open,81.8,B,High,Shrub
273748,4173045,76,74,75,85,82,open,78.4,B,High,Shrub
273748,4173055,79,80,67,96,92,open,82.8,B,High,Shrub
273748,4173075,50,0,50,0,60,open,32,B,High,Shrub
273738,4173075,83,57,86,70,79,open,75,B,High,Shrub
273738,4173055,69,36,55,15,70,open,49,B,High,Shrub
273738,4173045,74,100,104,45,73,open,79.2,B,High,Shrub
273738,4173035,42,0,5,30,58,open,27,B,High,Shrub
273738,4173025,78,69,88,60,58,open,70.6,B,High,Shrub
273738,4173015,52,75,58,0,71,open,51.2,B,High,Shrub
273738,4173005,20,20,80,73,58,open,50.2,B,High,Shrub
273738,4172995,77,45,66,84,74,open,69.2,B,High,Shrub
273738,4172975,104,85,78,96,106,open,93.8,B,High,Shrub
273728,4172975,95,110,95,37,24,open,72.2,B,High,Shrub
273728,4172995,109,150,112,97,44,open,102.4,B,High,Shrub
273728,4173005,32,0,90,70,90,open,56.4,B,High,Shrub
273728,4173015,95,37,0,0,0,open,26.4,B,High,Shrub
273728,4173025,76,82,156,70,70,open,90.8,B,High,Shrub
273728,4173035,90,62,23,15,60,open,50,B,High,Shrub
273728,4173045,57,100,57,75,115,open,80.8,B,High,Shrub
273728,4173055,0,60,74,80,34,open,49.6,B,High,Shrub
273728,4173075,110,75,140,129,95,open,109.8,B,High,Shrub
273708,4173075,47,112,135,107,109,open,102,B,High,Shrub
273708,4173055,60,95,62,103,51,open,74.2,B,High,Shrub
273708,4173035,0,0,0,0,41,canopy,8.2,B,High,Shrub
273708,4173015,65,49,52,65,15,open,49.2,B,High,Shrub
273708,4172995,66,57,80,82,55,open,68,B,High,Shrub
273708,4172975,155,80,67,165,55,open,104.4,B,High,Shrub
